"EquipmentID","EquipmentName","Status","InstallationDate","LastMaintenanceDate","Type","Manufacturer","Model","AssetKey","ExternalID","Description"
"EQ-001","Pump A","Operational","2018-06-15","2023-01-10","Centrifugal Pump","Flowserve","CPX100","WMT:23-TI-92512","EXT-001","Main pump for oil extraction"
"EQ-002","Valve B","Under Maintenance","2017-04-20","2023-02-15","Control Valve","Emerson","CV200","WMT:23-TI-92602","EXT-002","Control valve for pressure regulation"
"EQ-003","Motor C","Operational","2019-08-10","2023-03-20","Electric Motor","Siemens","EM300","WMT:23-HA-9103","EXT-003","Electric motor for pump A"
"EQ-004","Generator D","Operational","2016-11-25","2023-04-25","Diesel Generator","Caterpillar","DG400","WMT:23-EXY-92501B-03","EXT-004","Backup power generator"
"EQ-005","Compressor E","Operational","2020-02-30","2023-05-30","Gas Compressor","GE","GC500","WMT:23-PT-92504","EXT-005","Gas compressor for gas lift"
"EQ-006","Heat Exchanger F","Operational","2015-09-12","2023-06-15","Shell and Tube","Alfa Laval","HX600","WMT:23-PDT-92502","EXT-006","Heat exchanger for cooling"
"EQ-007","Separator G","Operational","2021-01-05","2023-07-20","Three-Phase Separator","Schlumberger","SP700","WMT:23-EZSL-92551B","EXT-007","Separator for oil, gas, and water"
"EQ-008","Tank H","Operational","2014-03-18","2023-08-25","Storage Tank","Halliburton","ST800","WMT:23-PT-92501A-11","EXT-008","Storage tank for crude oil"
"EQ-009","Pipeline I","Operational","2013-12-22","2023-09-30","Pipeline","Baker Hughes","PL900","WMT:23-TT-92504","EXT-009","Pipeline for oil transport"
"EQ-010","Drill J","Operational","2022-07-14","2023-10-05","Drilling Rig","Nabors","DR1000","WMT:23-YXY-92545-05","EXT-010","Drilling rig for new wells"
"EQ-011","Pump K","Operational","2018-06-15","2023-01-10","Centrifugal Pump","Flowserve","CPX101","WMT:45-FT-92606","EXT-011","Secondary pump for oil extraction"
"EQ-012","Valve L","Under Maintenance","2017-04-20","2023-02-15","Control Valve","Emerson","CV201","WMT:45-HV-92514-01","EXT-012","Secondary control valve"
"EQ-013","Motor M","Operational","2019-08-10","2023-03-20","Electric Motor","Siemens","EM301","WMT:23-ESDP-92501B","EXT-013","Electric motor for pump K"
"EQ-014","Generator N","Operational","2016-11-25","2023-04-25","Diesel Generator","Caterpillar","DG401","WMT:23-FG-96105","EXT-014","Secondary backup generator"
"EQ-015","Compressor O","Operational","2020-02-30","2023-05-30","Gas Compressor","GE","GC501","WMT:23-TSHH-96147","EXT-015","Secondary gas compressor"
"EQ-016","Heat Exchanger P","Operational","2015-09-12","2023-06-15","Shell and Tube","Alfa Laval","HX601","WMT:23-TE-96147","EXT-016","Secondary heat exchanger"
"EQ-017","Separator Q","Operational","2021-01-05","2023-07-20","Three-Phase Separator","Schlumberger","SP701","WMT:23-PT-96160-02","EXT-017","Secondary separator"
"EQ-018","Tank R","Operational","2014-03-18","2023-08-25","Storage Tank","Halliburton","ST801","WMT:23-TT-96183","EXT-018","Secondary storage tank"
"EQ-019","Pipeline S","Operational","2013-12-22","2023-09-30","Pipeline","Baker Hughes","PL901","WMT:23-PDI-92501","EXT-019","Secondary pipeline"
"EQ-020","Drill T","Operational","2022-07-14","2023-10-05","Drilling Rig","Nabors","DR1001","WMT:23-PDI-96249","EXT-020","Secondary drilling rig"
